"artist_full_name","art_title","art_location_name","art_location_street_address","art_location_city","art_location_state","art_location_zip","art_full_address","art_location_long","art_location_lat"
"Connie Arismendi","Trail of Tejano Legends: Tenderly","Town Lake Hike and Bike Trail (Trail of Tejano Legends)","Festival Beach Park along the; Nash Hernandez Sr. Road","Austin","TX",78702,"Festival Beach Park along the Nash Hernandez Sr. Road Austin TX 78702",-97.7291501,30.250365
"Dale Whistler","Night Wings","Congress-Barton Springs Traffic Island","300 South Congress Avenue;","Austin","TX",78704,"300 South Congress Avenue Austin TX 78704",-97.7468844,30.2585338
"John Christensen","Turner-Roberts-Overton Memorial","Turner Roberts Recreation Center","7201 Colony Loop Drive;","Austin","TX",78724,"7201 Colony Loop Drive Austin TX 78724",-97.6367011,30.3001872
"Jill Bedgood","Reality * Texas * Mythology","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Benito Huerta","Snake Path","Mexican American Cultural Center","600 River Street;","Austin","TX",78701,"600 River Street Austin TX 78701",-97.7400431,30.2581564
"Barbara Jackson - Poe","Unity: The Tree of Life","Dove Springs Recreation Center","5801 Ainez Dr.;","Austin","TX",78744,"5801 Ainez Dr. Austin TX 78744",-97.7382205,30.1877072
"Matthew Fuller","Beach Dogs","Health and Human Services Administration","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"Kelly Fearing","Collector Revisited","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"Dayna Beard-Isensee","Flights of Fancy","Yarborough Branch","2200 Hancock Dr.;","Austin","TX",78756,"2200 Hancock Dr. Austin TX 78756",-97.7407214,30.3234684
"John Christensen","Leaf; Pod & Samara","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Laura Garanzuay","Rayo de Esperanza - A Beacon of Hope: Sculpture; Community Kiosk; Benches","Terrazas Branch Library","1105 E. Cesar Chavez Street;","Austin","TX",78702,"1105 E. Cesar Chavez Street Austin TX 78702",-97.7334621,30.2599154
"Martha Gannon","Deuce Gates","Austin Tennis Center","7800 Johnny Morris Road;","Austin","TX",78724,"7800 Johnny Morris Road Austin TX 78724",-97.6387899,30.312718
"Doug Brown","The Unsung","Todd Lane Service Center","4108 Todd Lane;","Austin","TX",NA,"4108 Todd Lane Austin TX ",-97.7378341,30.2119731
"James Talbot","Transition","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Leticia Huerta","Padre Nuestro","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"Fidencio Duran","Comite Patriota; Cinco de Mayo and Diez y Seis","Parque Zaragoza Recreation Center","2608 Gonzales St.;","Austin","TX",78702,"2608 Gonzales St. Austin TX 78702",-97.7115188,30.2616879
"Robert Levers","Four Terrorists Trapped in a Bullring","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"James Janknegt","Our Neighborhood","Austin City Hall & Public Plaza","300 Cesar Chavez Street;","Austin","TX",NA,"300 Cesar Chavez Street Austin TX ",-97.7418527,30.2628754
"Lars A.Stanley","Tribute to Gus Garcia","Gus Garcia Recreation Center","1106 E. Rundberg Ln.;","Austin","TX",78753,"1106 E. Rundberg Ln. Austin TX 78753",-97.6820322,30.3548212
"Colin McIntyre","Emergence","Butler Park",";","Austin","Texas",78701," Austin Texas 78701",-97.7443863,30.2729209
"Ken Little","Homeland Security","Butler Park",";","Austin","Texas",78701," Austin Texas 78701",-97.7443863,30.2729209
"Jules BuckJones","Golden-Cheeked Warbler","Wildlife Conservation Division at Reicher Ranch","3635 RR 620 South;","Austin","TX",78738,"3635 RR 620 South Austin TX 78738",-97.7477922,30.3704088
"Jill Bedgood","Phantom Ship","Zilker Park","2201 Barton Springs Rd.;","Austin","TX",78746,"2201 Barton Springs Rd. Austin TX 78746",-97.7706985,30.2636355
"Lars A.Stanley","Zilker Gardens Main Entry Gate","Zilker Botanical Garden","2220 Barton Springs Rd.;","Austin","TX",78746,"2220 Barton Springs Rd. Austin TX 78746",-97.7714626,30.2687834
"Jake Gilson","Untitled","North Austin Police Substation","12400 Lamplight Village Ave.;","Austin","TX",78727,"12400 Lamplight Village Ave. Austin TX 78727",-97.697349,30.4137464
"John Fisher","Sesquicentennial Mural","Carver Branch","1161 Angelina St.;","Austin","TX",78702,"1161 Angelina St. Austin TX 78702",-97.7240279,30.2695585
"Jimmy Jalapeeno","Green Austin Series","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Armando Martinez","Me Barrio","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Kathleen Ash","Big Snake","Austin Nature & Science Center","301 Nature Center Dr.;","Austin","TX",78746,"301 Nature Center Dr. Austin TX 78746",-97.774959,30.2721352
"Will Larson","! Mira !","Lorraine ""Grandma"" Camacho Center","34 Robert T. Martinez Jr. St.;","Austin","TX",NA,"34 Robert T. Martinez Jr. St. Austin TX ",-97.7233503,30.2495248
"Roger Colombik","The Island","Combined Emergency Communication & Transportation Management Center","5010 Old Manor Rd;","Austin","TX",78723,"5010 Old Manor Rd Austin TX 78723",-97.6911047,30.2987595
"Arlene Polite","Untitled","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Tre Arenz","Wall of Hands","St. Elmo Service Center","4411 Meinardus Road;","Austin","TX",78744,"4411 Meinardus Road Austin TX 78744",-97.7523996,30.2105252
"Fidencio Duran","La Quinceanera - 15th Birthday","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Beverly Penn","Community Core Sample Project","St. John's Multipurpose Center","Corner of Blessing and Wheatly Ave.;","Austin","TX",NA,"Corner of Blessing and Wheatly Ave. Austin TX ",-97.6922599,30.3331577
"Thomas Evans","Hill of the Medicine Man","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Dale Whistler","Untitled","Dick Nichols Park","8011 Beckett Rd.;","Austin","TX",78749,"8011 Beckett Rd. Austin TX 78749",-97.8634214,30.2139446
"Jules BuckJones","Jolly-Ville Plateau Salamander","Wildlife Conservation Division at Reicher Ranch","3635 RR 620 South;","Austin","TX",78738,"3635 RR 620 South Austin TX 78738",-97.7477922,30.3704088
"Tre Arenz","Untitled","North Austin Police Substation","12400 Lamplight Village Ave.;","Austin","TX",78727,"12400 Lamplight Village Ave. Austin TX 78727",-97.697349,30.4137464
"Colin McIntyre","Arboreal Passage","Austin Nature & Science Center","301 Nature Center Dr.;","Austin","TX",78746,"301 Nature Center Dr. Austin TX 78746",-97.774959,30.2721352
"Martin Garcia","Las Acciones del Pasado Aseguran el Exito Hacia el Futuro (The Actions of the Past Ensure Success for the Future)","A.B. Cantu / Pan Am Recreation Center","2100 E. 3rd St.;","Austin","TX",78702,"2100 E. 3rd St. Austin TX 78702",-97.7207514,30.2581201
"David Santos","Big Arch","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Berthold Haas","Grotto Wall at Sparky Park","Sparky Park","3701 Grooms Street;","Austin","TX",78705,"3701 Grooms Street Austin TX 78705",-97.732193,30.299035
